@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.36448,0.59705,3.47025,0.17368,0
0.36424,0.59771,3.47025,0.1803,0
0.36454,0.5985,3.47025,0.18704,0
0.36423,0.60003,3.47025,0.19385,0
0.36394,0.60145,3.47025,0.20084,0
0.36406,0.60106,3.47025,0.20761,0
0.36492,0.60023,3.47025,0.21463,0
0.36572,0.59911,3.47025,0.22165,0
0.36604,0.5987,3.47025,0.2276,0
0.36567,0.59862,3.47025,0.23441,0
0.36533,0.59855,3.47025,0.24109,0
0.36578,0.59666,3.47025,0.24771,0
0.36649,0.59509,3.47025,0.25513,0
0.36716,0.59361,3.47025,0.2612,0
0.36682,0.59266,3.47025,0.26773,0
0.36701,0.59175,3.47025,0.27441,0
0.3756,0.5636,3.47025,0.27441,0
0.37597,0.53935,3.47025,0.27441,0
0.38132,0.52994,3.47025,0.27441,0
0.384,0.52523,3.75125,0.02029,0
0.38314,0.52478,3.75125,0.02658,0
0.38404,0.52666,3.75125,0.03363,0
0.38469,0.52801,3.75125,0.04034,0
0.38439,0.52875,3.75125,0.04709,0
0.38363,0.53038,3.75125,0.0538,0
0.38303,0.53169,3.75125,0.06049,0
0.38366,0.53354,3.75125,0.06705,0
0.38189,0.53525,3.75125,0.07385,0
0.38039,0.53669,3.75125,0.08051,0
0.38122,0.53764,3.75125,0.08749,0
0.38064,0.5379,3.75125,0.09415,0
0.38014,0.53813,3.75125,0.10065,0
0.38084,0.54061,3.75125,0.10709,0
0.38006,0.54259,3.75125,0.11401,0
0.37936,0.54436,3.75125,0.1207,0
0.37928,0.54635,3.75125,0.12726,0
0.37828,0.54859,3.75125,0.13412,0
0.37737,0.55061,3.75125,0.14078,0
0.37745,0.55091,3.75125,0.14749,0
0.37761,0.55116,3.75125,0.15421,0
0.37775,0.5514,3.75125,0.16061,0
0.37809,0.55418,3.75125,0.16754,0
0.37899,0.5554,3.75125,0.17389,0
0.37982,0.55607,3.75125,0.18082,0
0.38092,0.55641,3.75125,0.18765,0
0.38231,0.55637,3.75125,0.19434,0
0.3836,0.55632,3.75125,0.20102,0
0.38421,0.55697,3.75125,0.20779,0
0.38489,0.55769,3.75125,0.21393,0
0.38552,0.55874,3.75125,0.22079,0
0.38684,0.55947,3.75125,0.2272,0
0.40591,0.57872,3.75125,0.2272,0
0.4,0.57852,3.75125,0.2272,0
0.40514,0.57183,3.75125,0.2272,0
0.40233,0.56819,3.98544,0.02039,0
0.40067,0.56348,3.98544,0.02737,0
0.40365,0.56896,3.98544,0.03387,0
0.40307,0.57569,3.98544,0.04089,0
0.40263,0.58074,3.98544,0.04727,0
0.39058,0.60525,3.98544,0.05365,0
0.39058,0.60525,3.98544,0.06046,0
0.39058,0.60525,3.98544,0.06732,0
0.39058,0.60525,3.98544,0.07379,0
0.38866,0.60857,3.98544,0.07379,0
